tweet_id,author_id,created_at,text,intent,low_confidence,topic_confidence,pred_intent,pred_confidence,history_volume,history_replied,history_reply_rate,avg_reply_hours,history_sufficient,intent_prevalence,has_precedent,route,route_reason
1000118,356779,Sun Oct 22 17:45:55 +0000 2017,it be all good now smilingfacewithsmilingeyes i chat in amp it turn out the tracking show it be never deliver your rep v helpful amp replacement be on it way,delivery_issue,False,0.0163803126082571,customer_service,0.5206039,3,2,0.6666666666666666,0.10125,True,0.38434498775971376,True,assist,needs_judgment
1000129,356783,Sun Oct 22 21:26:29 +0000 2017,for a while every time i try to sign up for it would just take me to my prime membership detail page all good now thanks,appreciation,False,0.0546066177758253,customer_service,0.435781,1,0,0.0,,False,0.38434498775971376,True,assist,insufficient_history
1000132,356784,Sun Oct 22 19:12:01 +0000 2017,order id people need to know about duplicate product you sell duplicate product,order_status,False,0.0371122476990855,order_status,0.54473644,19,16,0.8421052631578947,0.2903935185185185,True,0.13106521875588475,True,auto,routine_intent_history
1000136,356784,Sun Oct 22 19:43:47 +0000 2017,i know it very well,customer_service,True,0.0154866151886307,customer_service,0.6669021,19,16,0.8421052631578947,0.2903935185185185,True,0.38434498775971376,True,assist,unclear_intent
1000138,356784,Sun Oct 22 19:26:08 +0000 2017,i already connect do live chat you be ready for refund people need to know the actual fact of,customer_service,False,0.0236563799799635,customer_service,0.80313617,19,16,0.8421052631578947,0.2903935185185185,True,0.38434498775971376,True,auto,consistent_resolution_history
1000154,356788,Sun Oct 22 17:05:50 +0000 2017,be your company bound to destroy people diwali celebration you can not deliver a package ever after day of expect delivery,delivery_issue,False,0.0512066897605797,delivery_issue,0.87209886,1,1,1.0,0.24416666666666667,False,0.2077396271420501,True,assist,insufficient_history
1000164,356790,Sun Oct 22 17:14:40 +0000 2017,this be after package be supposedly out for delivery this morning then resent this afternoon what be i pay for prime for,delivery_issue,False,0.0378587023920352,delivery_issue,0.93574065,1,1,1.0,0.07222222222222222,False,0.2077396271420501,True,assist,insufficient_history
1000188,356326,Sun Oct 22 17:28:18 +0000 2017,have be to service centre and close on saturday as well a sunday will visit tomorrow and see,customer_service,False,0.0180097915420171,delivery_issue,0.74514866,2,2,1.0,0.2619444444444444,False,0.2077396271420501,True,assist,insufficient_history
1000194,356793,Sun Oct 22 17:41:39 +0000 2017,i be suppose to receive the order on fridayoct but saw that it get delay from oct,order_status,False,0.068552796151315,order_status,0.75397414,4,2,0.5,,True,0.13106521875588475,True,auto,routine_intent_history
1000980,356981,Sat Oct 14 12:28:36 +0000 2017,hii amazon i get a call from ur side n unfortunately miss it can u plss call back n let me know what be it call about,customer_service,False,0.0344417997409524,customer_service,0.8976316,1,1,1.0,,False,0.38434498775971376,True,assist,insufficient_history
