tweet_id,author_id,text,created_at,topic_id,topic_confidence,intent,low_confidence
1000118,356779,it be all good now smilingfacewithsmilingeyes i chat in amp it turn out the tracking show it be never deliver your rep v helpful amp replacement be on it way,Sun Oct 22 17:45:55 +0000 2017,0,0.01638031260825713,delivery_issue,False
1000129,356783,for a while every time i try to sign up for it would just take me to my prime membership detail page all good now thanks,Sun Oct 22 21:26:29 +0000 2017,4,0.054606617775825324,appreciation,False
1000132,356784,order id people need to know about duplicate product you sell duplicate product,Sun Oct 22 19:12:01 +0000 2017,2,0.037112247699085575,order_status,False
1000136,356784,i know it very well,Sun Oct 22 19:43:47 +0000 2017,1,0.015486615188630716,customer_service,True
1000138,356784,i already connect do live chat you be ready for refund people need to know the actual fact of,Sun Oct 22 19:26:08 +0000 2017,1,0.02365637997996355,customer_service,False
1000154,356788,be your company bound to destroy people diwali celebration you can not deliver a package ever after day of expect delivery,Sun Oct 22 17:05:50 +0000 2017,0,0.051206689760579724,delivery_issue,False
1000164,356790,this be after package be supposedly out for delivery this morning then resent this afternoon what be i pay for prime for,Sun Oct 22 17:14:40 +0000 2017,0,0.03785870239203523,delivery_issue,False
1000188,356326,have be to service centre and close on saturday as well a sunday will visit tomorrow and see,Sun Oct 22 17:28:18 +0000 2017,1,0.018009791542017175,customer_service,False
1000194,356793,i be suppose to receive the order on fridayoct but saw that it get delay from oct,Sun Oct 22 17:41:39 +0000 2017,2,0.06855279615131506,order_status,False
1000980,356981,hii amazon i get a call from ur side n unfortunately miss it can u plss call back n let me know what be it call about,Sat Oct 14 12:28:36 +0000 2017,1,0.03444179974095241,customer_service,False
1000981,356980,so many quiz have ppl take part inbut i never saw the winner list4amazonpay be it fake contest amazonpayappquiz,Sun Sep 17 16:55:20 +0000 2017,1,0.0027502840082176037,customer_service,True
1000988,356983,do thank you just wait on it to be deliver today now,Sat Oct 14 18:04:36 +0000 2017,0,0.06374726274869294,delivery_issue,False
1000992,356983,second call be just make turn out it be never resent out today like promise get very upset,Sat Oct 14 21:21:46 +0000 2017,0,0.020241374232000054,delivery_issue,False
1001001,356983,i have hear nothing over night or response from logistics i want another one sent immediately to arrive today enragedface this be rediculous,Sun Oct 15 12:22:53 +0000 2017,0,0.017690961832577602,delivery_issue,False
1001004,161904,do please request for help,Sat Oct 14 14:28:13 +0000 2017,4,0.10174077997221309,appreciation,False
1001018,356984,yes and this be not get resolve on twitter so stop bothering will take up with the appropriate forum where you can do your explain,Sat Oct 14 13:52:54 +0000 2017,4,0.007846658302123603,appreciation,True
1001054,356992,play u dot understand anything let see how u handle this issue,Sat Oct 14 15:29:30 +0000 2017,1,0.015481771399078385,customer_service,True
1001057,356992,i do n't want replacement ply refund my money u r ting pin from me n it prove replacmnt same day he u expect me to it another pin,Sun Oct 15 05:08:36 +0000 2017,1,0.019504917457732755,customer_service,False
1001058,356992,i dnt hv spare phn so please refund my money i make a mistake buying phn from amazon iwill mk sure not to repeate that mistake in future,Sun Oct 15 05:09:33 +0000 2017,1,0.024752231513241515,customer_service,False
1001075,356996,thank you i have do so,Sat Oct 14 13:18:35 +0000 2017,4,0.10977871756258267,appreciation,False
1001088,356999,your u office have already extend help you can keep sit,Tue Oct 24 14:48:32 +0000 2017,4,0.050788883581796555,appreciation,False
1001094,357000,contact and mail also sentresponse awaitedpls do needful urgently,Sun Oct 22 17:28:24 +0000 2017,1,0.01630646019027883,customer_service,False
1001961,357175,amazonindia worstcustomercare pathetic worst experience this be what you call prime delivery,Sun Oct 22 17:48:01 +0000 2017,0,0.028641825190173536,delivery_issue,False
1001964,357176,bummer would be a great feature for amazon fresh,Sun Oct 22 18:51:22 +0000 2017,1,0.025093638027813715,customer_service,False
1001970,357178,why reply period if you be send me to amazon to do this myself thinkingface,Sun Oct 22 17:54:00 +0000 2017,3,0.05419877555476827,email_contact,False
1001975,357179,the tracking show the courier could not find my address which be absolute rubbish this have never happen before,Sun Oct 22 19:18:43 +0000 2017,0,0.006456639607797252,delivery_issue,True
1001979,357180,just the regular website i kind of expect kindle unlimited to appear in the dropdown filter,Sun Oct 22 17:45:46 +0000 2017,1,0.0072807023082281045,customer_service,True
1001980,357180,be there a way to search just kindle unlimited book i can not seem to find a filter other than kindle then hunt,Sun Oct 22 17:39:37 +0000 2017,1,0.007147575986295655,customer_service,True
1002195,353580,so how come i can not watch on my phone use my amazon information a give get a subscription thru amazon,Sun Oct 22 14:44:34 +0000 2017,1,0.0628752298623596,customer_service,False
1002204,202476,send a replacement sit idea a month after order deliver disguise a new order now blurt not pick up the pig,Sun Oct 22 14:27:23 +0000 2017,2,0.07050889644394384,order_status,False
1002547,161902,it be not an issue just an observation,Sat Oct 14 13:03:15 +0000 2017,1,0.016452323763454357,customer_service,False
1002580,118356,i have fill that formhoping to hear from ur side,Sat Oct 14 13:55:12 +0000 2017,1,0.012064256827164783,customer_service,True
1002585,118356,i need a resolution from your side today itself,Sun Oct 15 11:07:41 +0000 2017,0,0.02814577229823621,delivery_issue,False
1002617,357323,there be no cancel order tab in my app how can i return the item for the refund when i have not at all receive it,Sat Oct 14 12:48:08 +0000 2017,2,0.09076648843223006,order_status,False
1002891,185185,i do not understand i be not ask for express delivery it be a normal delivery per the seller,Sun Oct 22 15:15:36 +0000 2017,0,0.03987925973305651,delivery_issue,False
1002901,357390,i love you so much you have the best customer service ever,Sun Oct 22 15:04:36 +0000 2017,1,0.057933007219386164,customer_service,False
1002921,219466,it be because i buy a uk kindle book it reset everything i have link to my echo absolutely everything sort it now,Sun Oct 22 15:21:02 +0000 2017,1,0.010869600543613942,customer_service,True
1002922,219466,what an absolute farce alexa forget all my smarthome link so i have have to redo them alexa be not even show a online thinkingface,Sun Oct 22 14:56:16 +0000 2017,3,0.005564205468590887,email_contact,True
1003597,263195,thank you i will do do not know what to do about it so thank for the link smilingface,Sat Oct 14 13:24:55 +0000 2017,4,0.07815036821785509,appreciation,False
1003613,357551,such a pathetic service i have ever experience in my tenure with amazonescalation team disconnect my callwithout a courtesy,Sat Oct 14 12:35:11 +0000 2017,1,0.03130538389001715,customer_service,False
1003620,357552,it be more than day and no come be not provide by amazon u r such a lie,Mon Oct 16 08:57:13 +0000 2017,1,0.04076960063230028,customer_service,False
1003637,357555,pixel with amazon app windows pc with google chrome browser different window pc with m edge browser,Sun Oct 22 15:20:53 +0000 2017,1,0.013760761830837746,customer_service,True
1003674,357564,i hv use the option that u suggest in last tweet but it do not solve my problem i contact time by phone and mail,Sun Oct 22 17:53:31 +0000 2017,1,0.047908712564417824,customer_service,False
1003675,357564,please track the package with track no 211178196277i get sms time for successfully delivery but hvnt receive product,Sun Oct 22 14:57:46 +0000 2017,0,0.025086710903287575,delivery_issue,False
1003677,357564,a suggest i have fill the form and submit it,Mon Oct 23 05:53:53 +0000 2017,3,0.004665318463771214,email_contact,True
1003701,313372,i be try to exchange my moto c plus but be be not in the list,Sat Oct 14 13:06:43 +0000 2017,4,0.006274136406848018,appreciation,True
1003720,317639,still face the same issue very surprised to see there no tat for a company like but you still run offer on recharge,Sun Oct 15 06:59:07 +0000 2017,1,0.014898968127865569,customer_service,True
1003721,317639,if you unable to solve please guide on how to withdraw balance from amazon pay,Sun Oct 15 07:00:18 +0000 2017,1,0.030478506669879453,customer_service,False
1004386,149443,one be already a replacement my question be why do amazon send book without protective packaging,Sun Oct 22 15:44:13 +0000 2017,3,0.031454840079169336,email_contact,False
1004387,149443,why do you not send book in protective packaging i just receive book from you all scratch and with other damage,Sun Oct 22 15:35:08 +0000 2017,3,0.04257775970568101,email_contact,False
1004511,357762,yes i report just after receive the package,Sat Nov 25 17:27:44 +0000 2017,3,0.03685651710371701,email_contact,False
1004512,357762,want to know that my complaint register or not,Sat Nov 25 17:30:44 +0000 2017,1,0.02244839379666311,customer_service,False
1004533,357766,i order something that be suppose to be here yesterday and it never show up,Sat Nov 25 17:03:48 +0000 2017,2,0.09408093456977096,order_status,False
1004544,313580,quando si parla di socialcustomercare che funziona coccola i suoi clienti anche su twitter lostatefacendobene smilingfacewithsmilingeyes thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone,Sat Nov 25 17:11:22 +0000 2017,4,0.0026534067647126414,appreciation,True
1004606,268872,be that anything to do with that i be usually a couk customer be there a way i can spend my gift card voucher in the couk store,Sat Nov 25 17:20:38 +0000 2017,1,0.019224848422468483,customer_service,False
1004607,268872,all of the item i have select be on prime why can i select a locker com,Sat Nov 25 19:48:35 +0000 2017,0,0.01140075725461542,delivery_issue,True
1004615,268872,i be just not see the option for a locker whatsoever and i have really scrutinize the item they be all on prime and all sizeweight eligible all i be get be option for my uk address,Sat Nov 25 20:08:44 +0000 2017,1,0.014544215877534706,customer_service,True
1004667,357795,the saga of my screwedup letter from wish rock print version of the book product page continue now the book be available in two color and the number of unrelated review have double,Sat Nov 25 16:41:09 +0000 2017,1,0.009763751817265886,customer_service,True
1005036,357880,why can not you guy add an area for reference so it show up on my cc statement,Sat Oct 14 22:33:06 +0000 2017,1,0.006971355794546808,customer_service,True
1005037,357880,there be a way for me to add a reference name or number to my purchasesi buy for home and workneed to be able to reference,Sat Oct 14 12:57:13 +0000 2017,1,0.009965320491807634,customer_service,True
1005065,357888,thank u i have read how concustomers cheat amazon of lakh by fraud claim of receive empty box hope my suggestion help,Sat Oct 14 14:09:39 +0000 2017,4,0.061668611632976954,appreciation,False
1005077,357889,i speak to your executive on the helpline hour back amp they assure delivery guy will call it i be still wait for a call,Sat Oct 14 14:08:52 +0000 2017,0,0.028295161277246572,delivery_issue,False
1005108,353496,i think ur business hour be do,Mon Oct 16 07:27:48 +0000 2017,1,0.016213028436136978,customer_service,False
1005110,353496,finally receive the product but it be of no use for me a i ve to gift it to someone else anyway thanks unamusedface,Mon Oct 16 09:32:14 +0000 2017,4,0.03596966183505325,appreciation,False
1005123,357898,i still do not understand that fact that i already pay for prime but they want me to pay again for unlimited screw that noise,Sat Oct 14 12:48:30 +0000 2017,1,0.01845007660444752,customer_service,False
1005136,357902,ok thank you i appreciate the help,Sat Oct 14 16:51:19 +0000 2017,4,0.12695881818494553,appreciation,False
1005157,181482,while exchange the phone what thing need to be give do i need to return the box of the phone also,Sat Oct 14 13:03:06 +0000 2017,1,0.02544708391995469,customer_service,False
1005959,354427,i have dismantle my old desk and have nothing else suitable to put my pa on i be a copyeditor and my job be pa base this be a nightmare,Sun Oct 22 20:24:23 +0000 2017,1,0.0014814842945242944,customer_service,True
1005968,358096,because your policy but what annoy me more be ur rep attitude which be prove to be a constant,Sun Oct 22 19:51:38 +0000 2017,1,0.008133038460853649,customer_service,True
1005985,358096,you see not a single word,Sat Oct 28 12:08:49 +0000 2017,1,0.0025767905354881415,customer_service,True
1005987,358096,private message pdt jenny sure i will just make an exception so you no longer need to return the defective device be there anything else,Sun Oct 29 15:00:15 +0000 2017,1,0.014998271267381853,customer_service,True
1005988,358096,another problem with another unfulfilled promise and nobody caresgreat,Thu Nov 02 22:44:30 +0000 2017,1,0.013214779298085658,customer_service,True
1005992,358096,there u be hope u act and for the first time ever solve me a problem,Fri Nov 03 02:23:13 +0000 2017,1,0.03518416295607194,customer_service,False
1006001,358097,in kalyan we have service center both r say we do not look memory card ply give me address where should i go,Sun Oct 22 19:40:38 +0000 2017,1,0.017759046637665997,customer_service,False
1006004,358098,i get an email say itll be deliver nov 9th10th or nov 23rd24th,Sun Oct 22 19:44:24 +0000 2017,3,0.05192195347812849,email_contact,False
1006015,357024,just connect with nivedita she assure me for a resolution as soon a she will get this pick up never face such issue in past,Sun Oct 22 19:27:09 +0000 2017,1,0.020264644932211306,customer_service,False
1006022,358102,check all mail folder and notification it be simply remove silently from an active order with no mention,Sun Oct 22 19:23:25 +0000 2017,2,0.03877114182015788,order_status,False
1006027,358103,it spend a long time in a po box i could not get to so the return window be already close any chance of an exception,Sun Oct 22 19:59:09 +0000 2017,1,0.02232393868678909,customer_service,False
1006055,358108,no all be check my yr old have be sit in the hall wait all day and have now go to bed distraught his special parcel be not here,Sun Oct 22 19:48:24 +0000 2017,0,0.021121977616122046,delivery_issue,False
1006584,358193,someone from customer service actually email me yesterday thank you so much,Tue Oct 17 00:42:10 +0000 2017,3,0.06526989528166419,email_contact,False
1006585,358193,when your have a bad day and then this happen confoundedface,Sat Oct 14 13:22:21 +0000 2017,0,0.02516094885216479,delivery_issue,False
1006598,358194,nope this be all i receive,Sat Oct 14 14:25:24 +0000 2017,3,0.038087188441330265,email_contact,False
1006601,238165,i be be charge twice for the same book rentalwhat do i need to do to fix this,Sat Oct 14 13:06:17 +0000 2017,1,0.013337100202673407,customer_service,True
1006624,297351,may be ur policy differs from customer to customer grab money of those who pay in advance and do not charge cod customer cheat,Sat Oct 14 13:48:58 +0000 2017,1,0.05790872886629181,customer_service,False
1007017,171648,where be the link,Sun Oct 22 20:03:27 +0000 2017,3,0.027694230825530738,email_contact,False
1007022,358301,just that it should be here bye the,Sun Oct 22 19:58:07 +0000 2017,1,0.008407824088033516,customer_service,True
1007034,358303,soooooooooooooo it have to be worth of addon item so it can not be say of addon item and of a regular item right,Sun Oct 22 20:05:01 +0000 2017,0,0.016436722716748557,delivery_issue,False
1007042,358303,well lem me try that now,Sun Oct 22 18:39:34 +0000 2017,4,0.007390068731570505,appreciation,True
1007045,358303,or maybe i can only see the continue shop button because it a subtle hint to buy more stuff haha,Sun Oct 22 18:19:31 +0000 2017,1,0.006888511490066602,customer_service,True
1007549,358422,hey what be i suppose to do about this,Sat Oct 14 13:24:06 +0000 2017,0,0.010889259479016611,delivery_issue,True
1007731,358467,for my first order yes hour leave to have it deliver by lol crunch time,Sun Oct 22 21:58:43 +0000 2017,2,0.05730812011474915,order_status,False
1007770,358475,a package supposedly already in transit be magically delay for day when i ask why unprompted the agent cancel the order and refund,Sun Oct 22 19:42:39 +0000 2017,2,0.055117065350728314,order_status,False
1007772,358475,respond to the agent i get the same response a originally twice more,Sun Oct 22 20:48:47 +0000 2017,4,0.008344895748597862,appreciation,True
1008482,358640,how long do a simple investigation will take i need an explaination n a relief within his hereof fail which i we take legal action,Thu Oct 26 06:53:40 +0000 2017,1,0.008255299273225115,customer_service,True
